Filename,Original,Translate
trad_divina_commedia_inferno_3_1.csv,Nel mezzo del cammin di nostra vita,A met  strada nel cammino della nostra vita
trad_divina_commedia_inferno_3_1.csv,"mi ritrovai per una selva oscura,","Sono venuto da me stesso in un bosco scuro,"
trad_divina_commedia_inferno_3_1.csv,ch  la diritta via era smarrita.,per la via dritta   stato perso.
trad_divina_commedia_inferno_3_1.csv,Ahi quanto a dir qual era   cosa dura,"Ah, quanto   difficile dirlo"
trad_divina_commedia_inferno_3_1.csv,esta selva selvaggia e aspra e forte,"la natura di quel legno, selvaggio, denso e duro..."
trad_divina_commedia_inferno_3_1.csv,che nel pensier rinova la paura!,il pensiero stesso di esso rinnova la mia paura!
trad_divina_commedia_inferno_3_1.csv,Tant   amara che poco   pi  morte ,  cos  amara la morte non   pi  cos .
trad_divina_commedia_inferno_3_1.csv,"ma per trattar del ben ch i  vi trovai,",Ma per indicare il bene che ho trovato
trad_divina_commedia_inferno_3_1.csv,dir  de l altre cose ch i  v ho scorte.,Racconter  le altre cose che ho visto.
trad_divina_commedia_inferno_3_1.csv,"Io non so ben ridir com i  v intrai,","Come sono venuto l  non riesco a dire,"
trad_divina_commedia_inferno_3_1.csv,tant era pien di sonno a quel punto,Ero cosi  pieno di sonno.
trad_divina_commedia_inferno_3_1.csv,che la verace via abbandonai.,quando ho abbandonato l unica vera via.
trad_divina_commedia_inferno_3_1.csv,"Ma poi ch i  fui al pi  d un colle giunto,","Ma quando raggiunsi i piedi di una collina,"
trad_divina_commedia_inferno_3_1.csv,l  dove terminava quella valle,l  dove la valle   finita
trad_divina_commedia_inferno_3_1.csv,"che m avea di paura il cor compunto,","che mi aveva trafitto il cuore di paura,"
trad_divina_commedia_inferno_3_1.csv,guardai in alto e vidi le sue spalle,"Guardando in alto, ho visto le sue spalle"
trad_divina_commedia_inferno_3_1.csv,vestite gi  de  raggi del pianeta,allineato alla prima luce del pianeta
trad_divina_commedia_inferno_3_1.csv,che mena dritto altrui per ogne calle.,"che conduce gli uomini dritti, non importa quale sia la loro strada."
trad_divina_commedia_inferno_3_1.csv,"Allor fu la paura un poco queta,",Poi la paura che aveva sopportato
